news_website,url,original_language,owner,city,canton,occurrence,status
20 Minuten,https://www.20min.ch,German,TX Group,,,Daily,current
Baslerstab,,German,Basler Zeitung Medien,Basel,Basel-Stadt,Daily,current
Aargauer Zeitung,https://www.aargauerzeitung.ch,German,AZ Medien Gruppe,Aarau,Canton of Aargau,Daily,current
Appenzeller Zeitung [de],https://www.appenzellerzeitung.ch,German,CH Media,,Appenzell Ausserrhoden/Appenzell Innerrhoden,Daily,current
Basellandschaftliche Zeitung (bz),https://www.bzbasel.ch,German,Luedin,Liestal,Basel-Landschaft,Daily,current
Basler Zeitung (BaZ),https://www.bazonline.ch,German,Basler Zeitung Medien,Basel,Basel-Stadt,Daily,current
Berner Zeitung,https://www.bernerzeitung.ch,German,Espace Media Groupe/TX Group,Bern,Canton of Bern,Daily,current
Bieler Tagblatt,https://www.bielertagblatt.ch,German,Gassmann AG,Biel/Bienne,Canton of Bern,Daily,current
Blick,https://www.blick.ch,German,Ringier,Zurich,Canton of Zurich,Daily,current
Bote der Urschweiz,,German,Triner family,Schwyz,Canton of Schwyz,Daily,current
Bote vom Untersee und Rhein,,German,Keller family,Steckborn,Canton of Thurgau,Twice weekly,current
Der Bund,https://www.derbund.ch,German,TX Group,Bern,Canton of Bern,Daily,current
Engadiner Post [de] / Posta Ladina,,German,Gammeter Media AG,,Canton of the Grisons,,current
Finanz und Wirtschaft [de],https://www.fuw.ch,German,TX Group,Zurich,Canton of Zurich,Weekly,current
Freiburger Nachrichten [de],https://www.freiburger-nachrichten.ch,German,Freiburger Nachrichten AG,Fribourg,Canton of Fribourg,Daily,current
Handelszeitung,https://www.handelszeitung.ch,German,Axel Springer SE,Zurich,Canton of Zurich,Weekly,current
Der Landbote,,German,Ziegler Druck und Verlags AG,Winterthur,Canton of Zurich,Daily,current
Limmattaler Zeitung,https://www.limmattalerzeitung.ch,German,AZ Medien,Dietikon,Canton of Zurich,Daily,current
Luzerner Zeitung,https://www.luzernerzeitung.ch,German,CH Media,Lucerne,Canton of Lucerne,Daily,current
